date,local_route,light_rail,peak_service,rapid_route,school,other
2024-08-30T00:00:00.000,16436,10705,225,19026,3925,59.0
2023-09-15T00:00:00.000,15499,10671,267,18421,4519,61.0
2021-12-28T00:00:00.000,1756,2352,0,3775,0,13.0
2023-01-11T00:00:00.000,10536,8347,223,14072,0,48.0
2021-09-11T00:00:00.000,820,612,0,1283,0,11.0
2020-01-31T00:00:00.000,12977,9620,242,19327,0,0.0
2023-03-01T00:00:00.000,17387,11627,362,21753,5544,108.0
2021-07-17T00:00:00.000,2735,3651,0,5236,0,20.0
2023-03-07T00:00:00.000,17674,11859,364,21560,5700,91.0
2020-11-12T00:00:00.000,13405,6989,273,13688,4983,74.0
2023-08-29T00:00:00.000,16332,11502,395,20819,4718,90.0
2019-09-30T00:00:00.000,14148,11666,414,22670,0,0.0
2023-03-11T00:00:00.000,4137,6701,0,9370,9,19.0
2020-06-11T00:00:00.000,9293,4765,127,9940,4936,1.0
2022-05-08T00:00:00.000,1815,3424,0,4869,0,18.0
2021-06-22T00:00:00.000,15204,9372,324,16855,4239,80.0
2022-06-28T00:00:00.000,11895,8363,262,14384,2913,57.0
2024-07-19T00:00:00.000,11573,9340,254,15526,0,70.0
2021-10-25T00:00:00.000,6517,3158,80,6569,1861,39.0
2021-05-05T00:00:00.000,16573,9338,341,17666,5786,77.0
2023-04-11T00:00:00.000,11880,9258,292,16829,0,49.0
2020-10-04T00:00:00.000,1835,3226,0,4156,0,27.0
2021-12-30T00:00:00.000,4349,2957,16,4988,0,40.0
2019-10-27T00:00:00.000,3020,5112,0,6761,0,171.0
2019-11-28T00:00:00.000,18200,11890,424,23911,4904,0.0
2020-12-19T00:00:00.000,3103,4635,0,5958,0,24.0
2022-11-19T00:00:00.000,3736,5573,0,7765,0,32.0
2021-09-13T00:00:00.000,2164,848,22,2204,0,35.0
2023-09-17T00:00:00.000,2709,5108,0,7813,0,23.0
2019-12-30T00:00:00.000,5899,4310,26,7269,0,0.0
2019-10-12T00:00:00.000,3631,6629,0,9204,0,0.0
2021-11-04T00:00:00.000,9013,4379,112,8518,4388,56.0
2024-07-10T00:00:00.000,12394,9952,308,16751,0,76.0
2023-01-18T00:00:00.000,11246,8489,278,14409,0,70.0
2024-07-08T00:00:00.000,11237,8654,282,15559,0,52.0
2020-09-12T00:00:00.000,2449,3707,0,5562,0,17.0
2023-10-07T00:00:00.000,4077,6830,0,8725,0,14.0
2020-06-02T00:00:00.000,9101,4373,110,9258,4931,1.0
2022-02-02T00:00:00.000,11578,5892,114,10954,5852,53.0
2021-05-15T00:00:00.000,3003,4645,0,6296,0,27.0
2022-03-19T00:00:00.000,3189,5160,0,6911,0,34.0
2023-02-02T00:00:00.000,15814,10464,324,18290,5995,82.0
2021-01-08T00:00:00.000,8402,6501,144,10400,0,34.0
2024-03-07T00:00:00.000,19316,12226,351,22311,5990,110.0
2024-08-16T00:00:00.000,16467,10797,256,19135,4678,95.0
2020-10-23T00:00:00.000,13313,6459,198,13817,5004,40.0
2020-09-23T00:00:00.000,12750,6277,202,12590,4965,63.0
2024-05-10T00:00:00.000,17339,10895,281,19114,5080,75.0
2024-08-28T00:00:00.000,16867,11452,333,21017,4644,106.0
2020-07-23T00:00:00.000,11244,5630,167,11301,5205,64.0
2024-01-13T00:00:00.000,3537,4717,0,6425,0,20.0
2023-02-26T00:00:00.000,2481,5640,0,6881,0,21.0
2020-08-12T00:00:00.000,11814,5681,180,11606,5116,52.0
2022-09-12T00:00:00.000,13036,8545,215,15050,4514,105.0
2023-02-28T00:00:00.000,15837,11516,351,20528,2345,84.0
2020-03-28T00:00:00.000,1092,1081,0,1971,0,0.0
2019-07-24T00:00:00.000,19380,12044,463,25312,5786,1.0
2024-08-18T00:00:00.000,2719,4481,0,6552,0,13.0
2021-04-26T00:00:00.000,2282,3173,0,4503,0,23.0
2021-12-08T00:00:00.000,11353,6969,213,12215,2565,76.0
2019-11-05T00:00:00.000,18877,12355,468,24998,5752,1.0
2024-08-01T00:00:00.000,17225,11114,333,20758,5031,79.0
2020-11-26T00:00:00.000,13752,8194,237,14711,4502,67.0
2023-06-16T00:00:00.000,14424,10477,284,17591,4425,64.0
2019-12-21T00:00:00.000,3175,4981,0,6683,0,1.0
2023-01-01T00:00:00.000,1364,2406,0,3178,0,4.0
2022-10-09T00:00:00.000,2154,3826,0,5430,0,16.0
2023-08-07T00:00:00.000,15879,10904,330,19511,4755,71.0
2024-08-31T00:00:00.000,4742,5775,0,8586,0,20.0
2020-07-18T00:00:00.000,2035,3565,0,4853,0,23.0
2022-07-20T00:00:00.000,13322,8369,212,14852,4448,61.0
2024-03-27T00:00:00.000,18173,12156,393,20914,5656,80.0
2019-10-04T00:00:00.000,14021,12060,313,23197,0,0.0
2021-02-11T00:00:00.000,16855,9005,308,17343,6264,111.0
2022-07-23T00:00:00.000,3016,5045,0,6759,0,30.0
2020-04-20T00:00:00.000,2987,2388,55,3662,0,0.0
2020-05-03T00:00:00.000,959,1086,0,1821,0,0.0
2021-09-25T00:00:00.000,821,709,0,1425,0,12.0
2019-09-06T00:00:00.000,17771,11162,364,22459,5421,0.0
2023-03-24T00:00:00.000,16465,11110,281,19704,5200,76.0
2020-09-09T00:00:00.000,12127,6074,157,11887,5078,54.0
2021-07-28T00:00:00.000,15168,8604,314,16204,5318,55.0
2024-04-15T00:00:00.000,12891,10139,366,17634,0,65.0
2024-07-05T00:00:00.000,13529,9363,247,16422,2344,81.0
2021-01-26T00:00:00.000,1960,2800,0,4382,0,14.0
2023-08-30T00:00:00.000,16457,11148,385,20283,4678,91.0
2023-05-13T00:00:00.000,3988,6036,0,8328,0,24.0
2020-07-09T00:00:00.000,6888,5062,129,9600,0,8.0
2019-07-26T00:00:00.000,18698,12296,298,24258,5634,2.0
2020-09-24T00:00:00.000,13115,6539,217,12691,5071,49.0
2023-07-12T00:00:00.000,11725,9846,348,16297,0,49.0
2019-10-01T00:00:00.000,15028,12441,421,24365,0,1.0
2024-04-03T00:00:00.000,17476,11100,396,20651,5604,89.0
2022-06-04T00:00:00.000,2632,4137,0,5868,0,16.0
2021-12-25T00:00:00.000,79,409,0,156,0,0.0
2021-03-12T00:00:00.000,16565,9548,258,17365,5472,79.0
2021-12-14T00:00:00.000,11100,7081,221,12751,841,57.0
2020-02-23T00:00:00.000,3124,6520,0,7922,2,1.0
2022-02-27T00:00:00.000,1958,3660,0,4666,0,33.0
2021-06-10T00:00:00.000,15388,9114,289,16617,5269,84.0
2023-01-04T00:00:00.000,8322,5964,140,10293,0,32.0
2022-12-10T00:00:00.000,3687,6170,0,7773,0,26.0
2021-02-22T00:00:00.000,16090,8742,318,16780,5741,84.0
2019-09-17T00:00:00.000,18169,11827,484,25470,5711,0.0
2021-01-10T00:00:00.000,1866,2063,0,4063,0,18.0
2020-03-02T00:00:00.000,19911,12308,485,26947,6518,0.0
2020-05-01T00:00:00.000,3258,1687,41,3734,72,8.0
2021-10-12T00:00:00.000,2775,1231,36,2806,0,29.0
2022-06-07T00:00:00.000,12863,8321,233,14594,4367,58.0
2022-10-13T00:00:00.000,15019,9623,240,17206,4386,94.0
2023-07-19T00:00:00.000,15669,10790,380,18916,5000,98.0
2024-04-06T00:00:00.000,3894,5093,0,6917,0,18.0
2022-03-06T00:00:00.000,1935,3126,0,4911,11,20.0
2022-03-18T00:00:00.000,13920,8671,191,15136,4728,109.0
2022-10-05T00:00:00.000,9813,7663,252,13674,0,45.0
2024-08-02T00:00:00.000,16929,10875,256,19123,4654,64.0
2020-04-10T00:00:00.000,379,506,0,850,0,0.0
2024-04-20T00:00:00.000,5039,6200,0,8743,0,26.0
2024-05-14T00:00:00.000,18033,11508,363,20873,5229,72.0
2020-02-24T00:00:00.000,20110,12211,516,26749,6622,0.0
2020-10-28T00:00:00.000,13441,7017,237,13669,5350,46.0
2023-10-20T00:00:00.000,16409,11289,276,19301,4789,82.0
2022-11-27T00:00:00.000,2534,4322,0,6253,0,21.0
2021-11-24T00:00:00.000,10571,5992,175,11603,4309,62.0
2022-05-10T00:00:00.000,13618,8881,270,15462,4768,97.0
2024-02-13T00:00:00.000,18918,11369,370,21562,6431,96.0
2024-03-17T00:00:00.000,2856,4739,0,6702,0,17.0
2019-11-16T00:00:00.000,4063,6734,0,9130,0,0.0
2020-07-10T00:00:00.000,6701,5250,111,9377,0,3.0
2022-01-01T00:00:00.000,1028,1653,0,2245,0,9.0
2023-06-17T00:00:00.000,3861,5745,0,7858,0,64.0
2022-09-26T00:00:00.000,10515,8757,211,14394,0,68.0
2022-12-01T00:00:00.000,14039,9654,228,16573,3421,51.0
2020-02-28T00:00:00.000,20266,14527,416,27198,6358,0.0
2022-11-20T00:00:00.000,2384,4102,0,5694,0,34.0
2020-08-03T00:00:00.000,11297,5464,148,10927,5289,89.0
2019-08-30T00:00:00.000,18595,12416,363,24492,5150,1.0
2020-05-07T00:00:00.000,3741,2126,58,4792,147,8.0
2023-01-26T00:00:00.000,2333,4119,0,5938,0,13.0
2023-08-18T00:00:00.000,15409,10825,260,18974,4402,92.0
2024-04-09T00:00:00.000,16863,10584,423,19544,5557,85.0
2021-08-18T00:00:00.000,2079,800,22,1915,19,17.0
2020-05-17T00:00:00.000,1074,1489,0,2243,0,0.0
2023-03-16T00:00:00.000,17731,11437,266,21334,5628,115.0
2023-06-04T00:00:00.000,2317,4011,0,5786,0,13.0
2024-04-17T00:00:00.000,13922,11068,406,19070,0,80.0
2024-04-26T00:00:00.000,11988,9336,193,15869,0,78.0
2023-01-09T00:00:00.000,9863,7632,226,13141,0,44.0
2022-07-19T00:00:00.000,13438,8299,221,14648,4620,58.0
2024-04-27T00:00:00.000,4922,6073,0,8213,0,24.0
2021-08-26T00:00:00.000,2074,753,14,1909,0,22.0
2024-02-07T00:00:00.000,18667,11522,406,21230,6756,88.0
2022-02-06T00:00:00.000,1888,2750,0,4112,0,14.0
2020-09-01T00:00:00.000,12001,6149,187,12148,5041,69.0
2022-12-19T00:00:00.000,10284,7898,184,13242,0,48.0
2020-02-11T00:00:00.000,20335,12064,529,26842,7255,1.0
2022-07-06T00:00:00.000,9609,7958,235,12697,0,52.0
2023-05-19T00:00:00.000,15563,10628,287,18360,4607,87.0
2023-05-05T00:00:00.000,15523,10625,274,18453,4759,81.0
2024-08-07T00:00:00.000,17505,11695,349,21288,4961,76.0
2024-09-29T00:00:00.000,1,0,0,3,0,
2023-04-06T00:00:00.000,15478,10385,258,18318,4393,78.0
2024-06-21T00:00:00.000,14986,9623,263,17075,4501,77.0
2022-01-26T00:00:00.000,1716,2424,0,3957,0,22.0
2020-09-22T00:00:00.000,12729,6408,228,12778,5228,41.0
2019-07-31T00:00:00.000,19599,12447,478,25342,5736,0.0
2019-11-09T00:00:00.000,3905,6565,0,9388,0,0.0
2023-03-02T00:00:00.000,17478,11640,333,20972,5190,159.0
2024-03-19T00:00:00.000,19306,12747,423,22837,6025,82.0
2020-08-13T00:00:00.000,11977,5930,172,11904,5184,58.0
2022-06-15T00:00:00.000,13225,8683,228,14884,4201,39.0
2023-02-27T00:00:00.000,16775,10728,312,19631,5672,71.0
2021-04-12T00:00:00.000,11021,8155,277,14571,0,49.0
2023-10-31T00:00:00.000,16627,10852,325,19294,5172,56.0
2020-04-29T00:00:00.000,2831,1555,59,3692,70,1.0
2020-02-10T00:00:00.000,17882,10840,434,23380,6021,0.0
2020-08-06T00:00:00.000,11774,5871,176,11698,5135,50.0
2023-12-26T00:00:00.000,2375,3845,0,5868,0,13.0
2024-05-12T00:00:00.000,2494,4437,0,6251,0,14.0
2020-12-02T00:00:00.000,13699,8330,252,14685,4238,46.0
2024-08-03T00:00:00.000,4804,6173,0,8623,2,26.0
2021-09-16T00:00:00.000,2429,943,23,2390,0,33.0
2021-11-27T00:00:00.000,2728,3949,0,5549,0,22.0
2020-05-11T00:00:00.000,4023,2154,78,4980,800,2.0
2022-04-29T00:00:00.000,13989,9034,198,15513,5070,50.0
2020-12-04T00:00:00.000,13528,9163,187,14770,3830,65.0
2020-11-15T00:00:00.000,2055,3196,0,4597,0,20.0
2021-11-19T00:00:00.000,10516,6492,128,10990,4013,48.0
2023-02-11T00:00:00.000,3940,6141,0,8266,0,12.0
2023-07-24T00:00:00.000,16262,11164,362,19238,4795,93.0
2023-10-02T00:00:00.000,2511,4697,0,6450,0,20.0
2024-05-15T00:00:00.000,17920,11871,388,20313,5164,62.0
2021-10-17T00:00:00.000,883,1321,0,2098,0,10.0
2020-01-02T00:00:00.000,6913,6330,118,9780,0,0.0
2021-04-29T00:00:00.000,17194,9979,315,18817,5599,98.0
2023-02-09T00:00:00.000,15166,9802,264,17773,5120,123.0
2021-01-06T00:00:00.000,8049,5878,179,9748,0,36.0
2023-11-15T00:00:00.000,16271,10494,362,19149,4833,65.0
2021-02-05T00:00:00.000,15710,9112,237,15836,6347,102.0
2023-12-28T00:00:00.000,6486,4876,21,7742,0,43.0
2023-01-08T00:00:00.000,2299,4248,0,5101,0,33.0
2022-03-14T00:00:00.000,2098,3309,0,5210,0,26.0
2024-04-30T00:00:00.000,18231,11851,383,21160,5821,94.0
2020-02-17T00:00:00.000,19785,12012,482,25998,6668,0.0
2021-11-13T00:00:00.000,2225,3257,0,4599,0,17.0
2021-04-10T00:00:00.000,3123,4847,0,6049,0,33.0
2021-12-26T00:00:00.000,1263,2186,0,3243,0,19.0
2019-10-13T00:00:00.000,2943,4965,0,7552,0,0.0
2021-12-01T00:00:00.000,11388,6868,203,12338,3985,83.0
2020-01-03T00:00:00.000,7397,7663,107,10164,0,0.0
2024-08-25T00:00:00.000,2387,4467,0,6187,0,23.0
2023-01-23T00:00:00.000,10852,8339,258,14102,0,64.0
2024-07-22T00:00:00.000,12878,10073,322,17691,368,77.0
2022-02-09T00:00:00.000,12354,6322,142,11858,5729,78.0
2023-08-19T00:00:00.000,4021,6110,0,8416,0,21.0
2020-07-17T00:00:00.000,7244,5395,114,9896,0,10.0
2023-10-29T00:00:00.000,2704,4952,0,6408,0,23.0
2024-07-14T00:00:00.000,2510,4364,0,6116,0,34.0
2023-03-15T00:00:00.000,17500,11811,383,21486,5634,119.0
2019-10-20T00:00:00.000,3046,4849,0,7014,0,6.0
2022-01-02T00:00:00.000,1510,1951,0,3136,0,18.0
2023-10-23T00:00:00.000,15954,10448,331,18810,5266,65.0
2020-01-06T00:00:00.000,8773,6938,236,12938,0,0.0
2021-11-23T00:00:00.000,11289,6341,167,11741,4457,51.0
2021-03-30T00:00:00.000,16440,9534,335,17212,5680,78.0
2020-05-10T00:00:00.000,977,1193,0,1999,0,0.0
2021-12-03T00:00:00.000,11420,7405,161,12708,3479,51.0
2019-08-28T00:00:00.000,19485,12217,492,26363,5358,0.0
2021-08-23T00:00:00.000,1905,745,17,1758,10,18.0
2022-01-12T00:00:00.000,5972,3783,70,6911,0,29.0
2023-04-08T00:00:00.000,3311,5053,0,6769,0,19.0
2022-06-13T00:00:00.000,1828,3004,0,4246,0,13.0
2023-05-21T00:00:00.000,2441,4214,0,6279,0,15.0
2022-12-13T00:00:00.000,13215,9540,242,16023,882,66.0
2020-01-14T00:00:00.000,12361,9864,398,19326,0,0.0
2023-11-18T00:00:00.000,4319,6477,0,8941,0,31.0
2024-06-27T00:00:00.000,15434,9897,315,18010,4044,74.0
2023-01-15T00:00:00.000,2192,3590,0,5281,0,19.0
2021-12-11T00:00:00.000,2880,4493,0,5914,0,26.0
2021-09-02T00:00:00.000,2126,813,21,2127,0,17.0
2020-10-29T00:00:00.000,13382,6840,223,13813,5210,68.0
2020-03-17T00:00:00.000,16698,9402,395,22215,5750,0.0
2023-01-28T00:00:00.000,3455,4915,0,7531,0,21.0
2020-06-24T00:00:00.000,9303,5605,131,10776,4733,5.0
2024-02-23T00:00:00.000,17296,11619,307,20097,5490,100.0
2020-12-01T00:00:00.000,13219,8006,270,13883,4467,54.0
2023-07-25T00:00:00.000,16479,11744,311,20257,4854,87.0
2024-06-26T00:00:00.000,15703,10374,319,18275,4166,82.0
2021-03-07T00:00:00.000,2365,3802,0,4993,0,18.0
2019-08-07T00:00:00.000,19435,12306,414,26179,5776,0.0
2020-01-15T00:00:00.000,12711,9628,364,18994,0,0.0
2022-05-27T00:00:00.000,13001,8735,182,14701,2498,123.0
2023-08-12T00:00:00.000,4025,6142,0,8473,0,25.0
2023-02-12T00:00:00.000,2507,4680,0,6310,0,22.0
2023-06-29T00:00:00.000,13625,9479,298,16902,2557,65.0
2019-11-08T00:00:00.000,17838,11925,372,24095,5345,0.0
2021-01-18T00:00:00.000,10092,5056,276,12681,0,40.0
2023-11-09T00:00:00.000,15411,10537,330,18351,4814,78.0
2019-12-28T00:00:00.000,2874,4172,0,5745,0,1.0
2022-05-13T00:00:00.000,13176,8858,167,15019,4461,71.0
2020-04-24T00:00:00.000,3340,1821,41,4129,0,2.0
2021-01-13T00:00:00.000,10052,5004,219,12502,0,46.0
2020-04-26T00:00:00.000,756,798,0,1416,0,0.0
2022-03-21T00:00:00.000,13377,7956,208,14689,4899,75.0
2020-08-27T00:00:00.000,12319,6259,165,11917,4962,55.0
2022-07-05T00:00:00.000,9438,7927,213,12931,0,27.0
2021-02-07T00:00:00.000,2211,3647,0,4879,0,28.0
2021-08-07T00:00:00.000,3098,4506,0,6145,0,33.0
2022-02-11T00:00:00.000,12311,7163,114,12151,5266,64.0
2024-03-15T00:00:00.000,18107,12032,298,20985,5945,124.0
2020-05-28T00:00:00.000,7933,3671,91,8221,3882,1.0
2021-10-10T00:00:00.000,602,611,0,1228,0,8.0
2023-09-04T00:00:00.000,15376,10187,332,18262,4847,60.0
2022-03-08T00:00:00.000,13366,7524,212,14318,5319,89.0
2023-09-08T00:00:00.000,14429,10162,240,17486,4327,63.0
2022-08-05T00:00:00.000,11957,8944,147,14679,1355,58.0
2023-03-12T00:00:00.000,2607,5029,0,7004,0,14.0
2022-09-04T00:00:00.000,2078,3802,0,5329,0,21.0
2024-01-27T00:00:00.000,4095,6110,0,8694,0,21.0
2020-05-09T00:00:00.000,1245,1415,0,2362,0,0.0
2021-09-30T00:00:00.000,2351,983,18,2344,0,29.0
2022-03-13T00:00:00.000,2028,3748,0,5191,0,21.0
2019-09-24T00:00:00.000,19105,12898,479,25750,5437,0.0
2020-04-13T00:00:00.000,747,664,0,1292,0,1.0
2020-02-03T00:00:00.000,15704,10860,361,22332,1158,0.0
2022-12-16T00:00:00.000,12338,9598,175,15433,409,60.0
2023-01-12T00:00:00.000,10638,7976,212,13777,0,69.0
2023-09-29T00:00:00.000,11992,11516,235,17648,0,69.0
2021-04-18T00:00:00.000,2065,3290,0,4619,0,30.0
2020-05-08T00:00:00.000,4052,2305,58,4977,117,2.0
2023-05-04T00:00:00.000,16502,11026,351,19604,5281,91.0
2024-09-18T00:00:00.000,16776,11300,383,20242,4401,72.0
2019-11-20T00:00:00.000,18444,11645,476,24190,5700,1.0
2022-06-18T00:00:00.000,2948,4648,0,6328,0,28.0
2022-10-23T00:00:00.000,2191,3992,0,5284,0,9.0
2022-11-07T00:00:00.000,13382,8603,257,15154,3988,75.0
2021-10-05T00:00:00.000,2619,1085,26,2647,0,22.0
2022-04-05T00:00:00.000,14132,8463,285,15602,5037,50.0
2020-10-05T00:00:00.000,1939,2908,0,4165,0,23.0
2020-11-08T00:00:00.000,1897,2846,0,4312,0,16.0
2021-05-29T00:00:00.000,3113,4730,0,6304,0,28.0
