stop_id,matched_school,confidence
0,Dickson College,85
1,Dickson College,85
2,Ainslie School,85
3,Dickson College,85
4,Dickson College,85
5,Dickson College,85
6,Dickson College,85
7,Dickson College,85
8,Dickson College,85
9,Ainslie School,85
10,Ainslie School,85
11,Dickson College,85
12,Dickson College,85
13,University of Canberra Senior Secondary College Lake Ginninderra,85
14,Dickson College,85
15,Melba Copland Secondary School,95
16,Ainslie School,85
17,Ainslie School,85
18,Dickson College,85
19,Melrose High School,100
20,Ainslie School,85
21,Dickson College,85
22,Ainslie School,85
23,Lyneham Primary School,100
24,Dickson College,85
25,Dickson College,85
26,Ainslie School,85
27,Lake Tuggeranong College,85
28,Dickson College,85
29,University of Canberra Senior Secondary College Lake Ginninderra,85
30,Forrest Primary  School,100
31,Alfred Deakin High School,100
32,Ainslie School,85
33,Ainslie School,85
34,Ainslie School,85
35,Amaroo School,85
36,Dickson College,85
37,Telopea Park School,95
38,Dickson College,85
39,Ainslie School,85
40,Ainslie School,85
41,Lake Tuggeranong College,85
42,Melba Copland Secondary School,95
43,Calwell High School,100
44,Ainslie School,85
45,Melrose High School,100
46,Melba Copland Secondary School,95
47,Charnwood-Dunlop School,100
48,Ainslie School,85
49,University of Canberra Senior Secondary College Lake Ginninderra,85
50,University of Canberra Senior Secondary College Lake Ginninderra,85
51,Ainslie School,85
52,Ainslie School,85
53,Telopea Park School,95
54,Telopea Park School,95
55,Melrose High School,100
56,Dickson College,85
57,Ainslie School,85
59,Ainslie School,85
60,Ainslie School,85
61,Ainslie School,85
62,Ainslie School,85
63,Dickson College,85
64,Stromlo High School,95
65,Ainslie School,85
66,Dickson College,85
67,Ainslie School,85
68,Melrose High School,100
69,Melrose High School,100
70,Dickson College,85
71,Ainslie School,85
72,Belconnen High School,100
73,Dickson College,85
75,Dickson College,85
76,University of Canberra Senior Secondary College Lake Ginninderra,85
77,Campbell Primary School,100
78,Telopea Park School,95
79,Ainslie School,85
80,Melrose High School,100
81,Melba Copland Secondary School,95
82,Ainslie School,85
83,Forrest Primary  School,100
84,Ainslie School,85
85,University of Canberra Senior Secondary College Lake Ginninderra,85
86,Namadgi School,95
87,Dickson College,85
88,Ainslie School,85
89,Harrison School,95
90,Dickson College,85
91,Ainslie School,85
92,Wanniassa School,95
93,Canberra High School,100
94,University of Canberra Senior Secondary College Lake Ginninderra,85
95,Dickson College,85
96,Dickson College,85
97,Ainslie School,85
98,University of Canberra Senior Secondary College Lake Ginninderra,85
99,Ainslie School,85
100,Ainslie School,85
101,Ainslie School,85
102,Ainslie School,85
103,Dickson College,85
104,Melrose High School,100
105,Dickson College,85
106,Dickson College,85
107,Dickson College,85
108,Melba Copland Secondary School,95
109,Ainslie School,85
110,Telopea Park School,95
111,University of Canberra Senior Secondary College Lake Ginninderra,85
112,Ainslie School,85
113,Telopea Park School,95
114,Ainslie School,85
115,Dickson College,85
116,Dickson College,85
117,Dickson College,85
118,Ainslie School,85
119,Ainslie School,85
120,Ainslie School,85
121,Ainslie School,85
122,Ainslie School,85
123,Ainslie School,85
124,Caroline Chisholm School,95
125,Namadgi School,95
126,Lake Tuggeranong College,85
127,University of Canberra Senior Secondary College Lake Ginninderra,85
128,Alfred Deakin High School,100
129,Telopea Park School,95
130,Ainslie School,85
131,Ainslie School,85
132,Ainslie School,85
133,Lake Tuggeranong College,85
134,Ainslie School,85
135,Ainslie School,85
136,Ainslie School,85
137,Forrest Primary  School,100
138,Lyneham Primary School,100
139,University of Canberra Senior Secondary College Lake Ginninderra,85
140,Ainslie School,85
141,Dickson College,85
142,Dickson College,85
143,Campbell High School,100
144,Dickson College,85
145,Telopea Park School,95
146,Ainslie School,85
147,Melrose High School,100
148,Harrison School,95
149,Lake Tuggeranong College,85
150,Belconnen High School,100
151,Ainslie School,85
152,Telopea Park School,95
153,Ainslie School,85
154,Wanniassa School,95
155,University of Canberra Senior Secondary College Lake Ginninderra,85
156,Ainslie School,85
157,Wanniassa School,95
158,Telopea Park School,95
159,Ainslie School,85
160,Melba Copland Secondary School,95
161,Canberra High School,100
162,Amaroo School,85
163,Ainslie School,85
164,Dickson College,85
165,Ainslie School,85
166,Ainslie School,85
167,Ainslie School,85
168,Dickson College,85
169,Dickson College,85
170,University of Canberra Senior Secondary College Lake Ginninderra,85
171,Dickson College,85
172,Campbell Primary School,100
173,Dickson College,85
174,Ainslie School,85
175,Calwell Primary School,100
176,Ainslie School,85
177,Dickson College,85
178,Telopea Park School,95
179,Ainslie School,85
180,Namadgi School,95
181,Belconnen High School,100
182,Dickson College,85
183,Dickson College,85
184,Ainslie School,85
185,Lake Tuggeranong College,85
186,Melrose High School,100
187,Lake Tuggeranong College,85
188,Dickson College,85
189,Ainslie School,85
190,Theodore Primary School,100
191,Ainslie School,85
192,Ainslie School,85
193,Melrose High School,100
194,Dickson College,85
195,Ainslie School,85
196,Wanniassa School,95
197,Ainslie School,85
198,Ainslie School,85
199,Dickson College,85
200,Lake Tuggeranong College,85
201,University of Canberra Senior Secondary College Lake Ginninderra,85
202,Ainslie School,85
203,Ainslie School,85
204,Dickson College,85
205,Campbell High School,100
206,Ainslie School,85
207,Dickson College,85
208,Fraser Primary School,100
209,Ainslie School,85
210,Ainslie School,85
211,Lake Tuggeranong College,85
212,Stromlo High School,95
213,Theodore Primary School,100
214,Melba Copland Secondary School,95
215,Ainslie School,85
216,Dickson College,85
217,Dickson College,85
218,Charnwood-Dunlop School,100
219,Ainslie School,85
220,Ainslie School,85
221,Ainslie School,85
222,Ainslie School,85
223,Melrose High School,100
224,Dickson College,85
225,Caroline Chisholm School,95
226,Namadgi School,95
227,Ainslie School,85
228,Forrest Primary  School,100
229,Dickson College,85
230,Ainslie School,85
231,Dickson College,85
232,Canberra High School,100
233,Harrison School,95
234,Lake Tuggeranong College,85
235,Dickson College,85
236,Ainslie School,85
237,Lake Tuggeranong College,85
238,Canberra High School,100
239,Forrest Primary  School,100
240,Ainslie School,85
241,Dickson College,85
242,Telopea Park School,95
244,Ainslie School,85
245,Ainslie School,85
246,Ainslie School,85
247,Dickson College,85
248,Ainslie School,85
250,Lake Tuggeranong College,85
251,Red Hill Primary School,100
252,Telopea Park School,95
253,Lake Tuggeranong College,85
254,Dickson College,85
255,Telopea Park School,95
256,Dickson College,85
257,Ainslie School,85
258,Ainslie School,85
259,Dickson College,85
260,Lake Tuggeranong College,85
261,Dickson College,85
262,Ainslie School,85
263,Ainslie School,85
264,Amaroo School,85
265,University of Canberra Senior Secondary College Lake Ginninderra,85
266,Dickson College,85
267,Dickson College,85
268,Calwell High School,100
269,University of Canberra Senior Secondary College Lake Ginninderra,85
270,Ainslie School,85
271,Melrose High School,100
272,Ainslie School,85
273,Dickson College,85
274,Dickson College,85
275,Dickson College,85
276,Belconnen High School,100
277,University of Canberra Senior Secondary College Lake Ginninderra,85
278,Dickson College,85
279,University of Canberra High School Kaleen,100
280,Ainslie School,85
281,University of Canberra Senior Secondary College Lake Ginninderra,85
282,Telopea Park School,95
283,Dickson College,85
284,Lyneham Primary School,100
285,Ainslie School,85
286,Ainslie School,85
287,Melrose High School,100
288,Ainslie School,85
289,Ainslie School,85
290,Ainslie School,85
291,Melrose High School,100
292,Caroline Chisholm School,95
293,University of Canberra Senior Secondary College Lake Ginninderra,85
294,Ainslie School,85
295,Ainslie School,85
296,Alfred Deakin High School,100
297,Telopea Park School,95
298,University of Canberra Senior Secondary College Lake Ginninderra,85
