sa1_code_2021,pairs,pairs_within_10_min,pairs_within_15_min,pct_within_10_min,pct_within_15_min
80101100102,1,0,0,0.0,0.0
80101100103,1,0,1,0.0,1.0
80101100104,1,0,0,0.0,0.0
80101100105,1,0,0,0.0,0.0
80101100106,1,0,0,0.0,0.0
80101100201,2,0,0,0.0,0.0
80101100202,1,0,1,0.0,1.0
80101100208,1,0,1,0.0,1.0
80101100211,1,0,0,0.0,0.0
80101100304,2,0,0,0.0,0.0
80101100312,1,0,0,0.0,0.0
80101100401,2,0,1,0.0,0.5
80101100402,1,1,1,1.0,1.0
80101100403,4,0,0,0.0,0.0
80101100404,2,0,0,0.0,0.0
80101100405,4,1,1,0.25,0.25
80101100406,3,0,1,0.0,0.3333333333333333
80101100408,1,0,0,0.0,0.0
80101100409,2,1,1,0.5,0.5
80101100502,1,0,0,0.0,0.0
80101100503,1,0,0,0.0,0.0
80101100504,1,0,0,0.0,0.0
80101100507,1,0,0,0.0,0.0
80101100508,1,0,0,0.0,0.0
80101100509,1,0,0,0.0,0.0
80101100604,3,0,1,0.0,0.3333333333333333
80101100605,2,0,0,0.0,0.0
80101100606,2,0,0,0.0,0.0
80101100607,1,0,0,0.0,0.0
80101100608,2,0,0,0.0,0.0
80101100609,3,0,0,0.0,0.0
80101100610,1,0,0,0.0,0.0
80101100611,2,0,0,0.0,0.0
80101100612,5,0,0,0.0,0.0
80101100613,1,0,0,0.0,0.0
80101100614,2,0,0,0.0,0.0
80101100616,3,0,0,0.0,0.0
80101100617,1,0,0,0.0,0.0
80101100618,2,0,0,0.0,0.0
80101100620,2,0,0,0.0,0.0
80101100622,2,0,0,0.0,0.0
80101100623,4,0,1,0.0,0.25
80101100701,1,0,0,0.0,0.0
80101100702,1,0,0,0.0,0.0
80101100703,1,0,1,0.0,1.0
80101100704,1,0,0,0.0,0.0
80101100706,1,0,1,0.0,1.0
80101100707,1,0,0,0.0,0.0
80101100708,1,0,0,0.0,0.0
80101100709,1,0,0,0.0,0.0
80101100711,2,0,0,0.0,0.0
80101100712,4,0,0,0.0,0.0
80101100713,1,0,0,0.0,0.0
80101100802,2,0,0,0.0,0.0
80101100803,2,0,0,0.0,0.0
80101100807,1,0,0,0.0,0.0
80101100811,2,0,0,0.0,0.0
80101100812,1,0,0,0.0,0.0
80101100901,1,0,0,0.0,0.0
80101100904,2,0,0,0.0,0.0
80101100905,1,0,0,0.0,0.0
80101100907,1,0,1,0.0,1.0
80101100908,1,0,1,0.0,1.0
80101100910,1,0,0,0.0,0.0
