sa1_code_2021,school,walk_time_sec
80101100102,Canberra High School,1256.3521309444045
80101100103,Canberra High School,800.6937781543777
80101100104,Canberra High School,1446.9183408009621
80101100105,Canberra High School,1121.3208426206368
80101100106,Canberra High School,1091.942524788322
80101100201,Canberra High School,1141.509285273808
80101100201,University of Canberra Senior Secondary College Lake Ginninderra,6372.102094490089
80101100202,Canberra High School,650.0573814696935
80101100208,Canberra High School,745.2268826103109
80101100211,Canberra High School,2409.4889128967247
80101100304,Canberra High School,2788.9938520813157
80101100304,University of Canberra Senior Secondary College Lake Ginninderra,4192.602109372678
80101100312,Canberra High School,2853.2686994186233
80101100401,Fraser Primary School,759.9287783369542
80101100401,Melba Copland Secondary School,2357.299963971531
80101100402,Charnwood-Dunlop School,287.63119437301305
80101100403,Canberra High School,6903.969095201112
80101100403,Charnwood-Dunlop School,1021.1388312467373
80101100403,Fraser Primary School,971.3879007988559
80101100403,Melba Copland Secondary School,1779.2472584093082
80101100404,Charnwood-Dunlop School,1215.137640360567
80101100404,Melba Copland Secondary School,1871.648793657085
80101100405,Belconnen High School,6080.45087044766
80101100405,Charnwood-Dunlop School,451.19155368373544
80101100405,Fraser Primary School,1133.7764377582557
80101100405,Melba Copland Secondary School,2918.0969916817157
80101100406,Belconnen High School,5665.228300290458
80101100406,Charnwood-Dunlop School,813.5662597031592
80101100406,Melba Copland Secondary School,2737.54039393442
80101100408,Charnwood-Dunlop School,1221.5153254319653
80101100409,Charnwood-Dunlop School,480.04295054171433
80101100409,Melba Copland Secondary School,3047.070463689035
80101100502,Canberra High School,1311.2367890541873
80101100503,Canberra High School,1553.6476885993718
80101100504,Canberra High School,995.7131332458382
80101100507,Canberra High School,1684.194171085365
80101100508,Canberra High School,1574.4154988488629
80101100509,Canberra High School,1669.354306735814
80101100604,Charnwood-Dunlop School,873.9592577199886
80101100604,Fraser Primary School,1579.2724893770505
80101100604,Melba Copland Secondary School,3115.740837956244
80101100605,Fraser Primary School,2148.03003947714
80101100605,Melba Copland Secondary School,4133.783140966469
80101100606,Fraser Primary School,1897.6246109842075
80101100606,Melba Copland Secondary School,3883.3777124735348
80101100607,Fraser Primary School,1608.0968151889788
80101100608,Charnwood-Dunlop School,1530.7433075463377
80101100608,Fraser Primary School,1850.3877875546443
80101100609,Belconnen High School,6532.950931575411
80101100609,Charnwood-Dunlop School,1116.9488228807306
80101100609,Melba Copland Secondary School,3389.2541663717984
80101100610,Charnwood-Dunlop School,1142.6743067866096
80101100611,Charnwood-Dunlop School,1486.8749933833749
80101100611,University of Canberra Senior Secondary College Lake Ginninderra,11393.657634537998
