school,sa1_pairs,sa1_pairs_within_10_min,sa1_pairs_within_15_min,pct_within_10_min,pct_within_15_min
Ainslie School,23,1,2,0.043478260869565216,0.08695652173913043
Alfred Deakin High School,50,0,0,0.0,0.0
Amaroo School,61,0,0,0.0,0.0
Belconnen High School,27,3,6,0.1111111111111111,0.2222222222222222
Calwell High School,28,1,4,0.03571428571428571,0.14285714285714285
Calwell Primary School,15,3,9,0.2,0.6
Campbell High School,25,1,1,0.04,0.04
Campbell Primary School,10,3,5,0.3,0.5
Canberra High School,51,1,4,0.0196078431372549,0.0784313725490196
Caroline Chisholm School,34,2,8,0.058823529411764705,0.23529411764705882
Charnwood-Dunlop School,20,3,6,0.15,0.3
Dickson College,29,0,0,0.0,0.0
Forrest Primary  School,27,3,4,0.1111111111111111,0.14814814814814814
Fraser Primary School,21,0,4,0.0,0.19047619047619047
Harrison School,65,7,13,0.1076923076923077,0.2
Lake Tuggeranong College,52,0,0,0.0,0.0
Lyneham Primary School,26,6,11,0.23076923076923078,0.4230769230769231
Melba Copland Secondary School,45,2,7,0.044444444444444446,0.15555555555555556
Melrose High School,38,0,2,0.0,0.05263157894736842
Namadgi School,35,1,4,0.02857142857142857,0.11428571428571428
North Ainslie Primary School,23,6,9,0.2608695652173913,0.391304347826087
Red Hill Primary School,31,2,5,0.06451612903225806,0.16129032258064516
Stromlo High School,49,2,5,0.04081632653061224,0.10204081632653061
Telopea Park School,69,3,6,0.043478260869565216,0.08695652173913043
Theodore Primary School,14,3,6,0.21428571428571427,0.42857142857142855
University of Canberra High School Kaleen,10,2,4,0.2,0.4
University of Canberra Senior Secondary College Lake Ginninderra,22,0,0,0.0,0.0
Wanniassa Hills Primary School,18,4,7,0.2222222222222222,0.3888888888888889
Wanniassa School,20,1,5,0.05,0.25
